people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
9100,"Eleanor Norton",Eleanor,Holmes,Norton,,,1,D,1,Rep,HD-DC,18929695,775,N00001692,Eleanor_Holmes_Norton,158782,0
9102,"John Olver",John,W.,Olver,,,1,D,1,Rep,HD-MA-1,36943,26894,N00000143,John_Olver,158875,0
9104,"Ed Pastor",Ed,,Pastor,,,1,D,1,Rep,HD-AZ-7,14103962,26719,N00006397,Ed_Pastor,158713,0
9105,"Donald Payne",Donald,M.,Payne,,,1,D,1,Rep,HD-NJ-10,17658196,26957,N00034639,Donald_Payne_Jr.,158961,0
9107,"Gary Peters",Gary,C.,Peters,,,1,D,1,Rep,HD-MI-14,363232,8749,N00029277,Gary_Peters,195614,0
9108,"Pedro Pierluisi",Pedro,R.,Pierluisi,,,6,N,1,Rep,HD-PR,0,110894,N00029168,Pedro_Pierluisi_Urrutia,0,0
9109,"Chellie Pingree",Chellie,,Pingree,,,1,D,1,Rep,HD-ME-1,1656640,6586,N00013817,Chellie_Pingree,267137,0
9110,"Jared Polis",Jared,,Polis,,,1,D,1,Rep,HD-CO-2,658962,106220,N00029127,Jared_Polis,267142,0
9112,"David Price",David,E.,Price,,,1,D,1,Rep,HD-NC-4,6891915,119,N00002260,David_Price,158937,0
9113,"Silvestre Reyes",Silvestre,,Reyes,,,1,D,1,Rep,HD-TX-16,17658720,292,N00006067,Silvestre_Reyes,159086,0
9114,"Laura Richardson",Laura,,Richardson,,,1,D,1,Rep,HD-CA-37,15524591,69508,N00029112,Laura_Richardson,248476,0
9116,"Steven Rothman",Steven,R.,Rothman,,,1,D,1,Rep,HD-NJ-9,17658696,481,N00008619,Steve_Rothman,158960,0
9117,"Lucille Roybal-Allard",Lucille,,Roybal-Allard,,,1,D,1,Rep,HD-CA-40,12450156,26766,N00006671,Lucille_Roybal-Allard,158750,0
9118,"C.A. Ruppersberger",C.A.,Dutch,Ruppersberger,,,1,D,1,Rep,HD-MD-2,17658031,36130,N00025482,Dutch_Ruppersberger,120144,0
9119,"Bobby Rush",Bobby,L.,Rush,,,1,D,1,Rep,HD-IL-1,17657928,26831,N00004887,Bobby_Rush,158828,0
9120,"Tim Ryan",Tim,,Ryan,,,1,D,1,Rep,HD-OH-13,2850732,45638,N00025280,Tim_Ryan_(Ohio),208806,0
9121,"Linda Sanchez",Linda,T.,Sanchez,,,1,D,1,Rep,HD-CA-38,17657762,29674,N00024870,Linda_S%C3%A1nchez,211684,0
9122,"Loretta Sanchez",Loretta,,Sanchez,,,1,D,1,Rep,HD-CA-46,793908,203,N00008274,Loretta_Sanchez,158763,0
9123,"John Sarbanes",John,P.,Sarbanes,,,1,D,1,Rep,HD-MD-3,17658676,66575,N00027751,John_Sarbanes,248303,0
9124,"Adam Schiff",Adam,B.,Schiff,,,1,D,1,Rep,HD-CA-28,15203357,9489,N00009585,Adam_Schiff,193010,0
9125,"Allyson Schwartz",Allyson,Y.,Schwartz,,,1,D,1,Rep,HD-PA-13,5108527,5239,N00001579,Allyson_Schwartz,198176,0
9126,"David Scott",David,,Scott,,,1,D,1,Rep,HD-GA-13,13011507,7826,N00024871,David_Scott_(Georgia),193670,0
9127,"Robert Scott",Robert,C.,Scott,,Bobby,1,D,1,Rep,HD-VA-3,17658728,173269,N00002147,Robert_Scott_(Delaware),159106,0
9128,"Jose Serrano",Jose,E.,Serrano,,,1,D,1,Rep,HD-NY-15,17391438,26981,N00001813,Jose_Serrano,158985,0
9131,"Albio Sires",Albio,,Sires,,,1,D,1,Rep,HD-NJ-8,6389364,22510,N00027523,Albio_Sires,197402,0
9133,"Louise Slaughter",Louise,McIntosh,Slaughter,,,1,D,1,Rep,HD-NY-25,17658702,26991,N00001311,Louise_Slaughter,158997,0
9134,"Jackie Speier",Jackie,,Speier,,,1,D,1,Rep,HD-CA-14,12997061,8425,N00029649,Jackie_Speier,192997,0
9137,"Bennie Thompson",Bennie,G.,Thompson,,,1,D,1,Rep,HD-MS-2,8348996,26929,N00003288,Bennie_Thompson,158929,0
9138,"Mike Thompson",Mike,,Thompson,,,1,D,1,Rep,HD-CA-5,1952480,3564,N00007419,Mike_Thompson_(California),158718,0
9139,"John Tierney",John,F.,Tierney,,,1,D,1,Rep,HD-MA-6,165967,553,N00000226,John_Tierney,158880,0
9141,"Chris Van Hollen",Chris,,"Van Hollen",,,1,D,1,Rep,SD-MD,5552236,6098,N00013820,Chris_Van_Hollen,195215,0
9142,"Peter Visclosky",Peter,J.,Visclosky,,,1,D,1,Rep,HD-IN-1,16562743,26851,N00003813,Peter_Visclosky,158848,0
9143,"Timothy Walz",Timothy,J.,Walz,,,1,D,1,Rep,HD-MN-1,9202001,65443,N00027467,Tim_Walz,248305,0
9144,"Maxine Waters",Maxine,,Waters,,,1,D,1,Rep,HD-CA-43,1257359,26759,N00006690,Maxine_Waters,158752,0
9146,"Melvin Watt",Melvin,L.,Watt,,,1,D,1,Rep,HD-NC-12,14777657,26997,N00002328,Melvin_Watt,158945,0
9148,"Lynn Woolsey",Lynn,C.,Woolsey,,,1,D,1,Rep,HD-CA-6,19889248,26733,N00007458,Lynn_Woolsey,158723,0
9149,"David Wu",David,,Wu,,,1,D,1,Rep,HD-OR-1,18930562,23797,N00009824,David_Wu,159026,0
9150,"John Yarmuth",John,A.,Yarmuth,,,1,D,1,Rep,HD-KY-3,7155937,58579,N00028073,John_Yarmuth,248302,0
9151,"Sanford Bishop",Sanford,D.,Bishop,Jr.,,1,D,1,Rep,HD-GA-2,5134027,26817,N00002674,Sanford_Bishop_Jr.,158808,0
9152,"Dennis Cardoza",Dennis,A.,Cardoza,,,1,D,1,Rep,HD-CA-18,2373302,9680,N00024874,Dennis_Cardoza,193055,0
9154,"Collin Peterson",Collin,C.,Peterson,,,1,D,1,Rep,HD-MN-7,16588347,26926,N00004558,Collin_Peterson,158917,0
9155,"Heath Shuler",Heath,,Shuler,,,1,D,1,Rep,HD-NC-11,19890141,57781,N00027655,Heath_Shuler,248353,0
9157,"Mario Diaz-Balart",Mario,,Diaz-Balart,,,2,R,1,Rep,HD-FL-21,12999048,24312,N00025337,Mario_Diaz-Balart,193508,0
9160,"James McGovern",James,P.,McGovern,,,1,D,1,Rep,HD-MA-2,17658594,552,N00000179,James_J._McGovern,158877,0
9161,"Gregory Meeks",Gregory,W.,Meeks,,,1,D,1,Rep,HD-NY-5,17658810,4360,N00001171,Gregory_Meeks,158975,0
9162,"Tim Murphy",Tim,,Murphy,,,2,R,1,Rep,HD-PA-18,0,9794,N00024992,Tim_Murphy_(Pennsylvania),198209,0
9163,"Todd Platts",Todd,Russell,Platts,,,2,R,1,Rep,HD-PA-19,13006127,9211,N00009719,Todd_Russell_Platts,0,0
9164,"Ileana Ros-Lehtinen",Ileana,,Ros-Lehtinen,,,2,R,1,Rep,HD-FL-18,9685208,26815,N00002858,Ileana_Ros-Lehtinen,158801,0
9165,"Gregorio Sablan",Gregorio,,Sablan,,,3,I,1,Rep,HD-MP,0,110903,N00030418,Gregorio_Sablan,274097,0
9167,"Paul Tonko",Paul,D.,Tonko,,,1,D,1,Rep,HD-NY-20,4469600,4403,N00030196,Paul_Tonko,197757,0
9168,"Don Young",Don,,Young,,,2,R,1,Rep,HD-AK,17658637,26717,N00007999,Don_Young_(Alaska),158699,0
9170,"Jay Inslee",Jay,,Inslee,,,1,D,1,Rep,HD-WA-1,2912405,27125,N00001725,Jay_Inslee,159117,0
9171,"Joe Barton",Joe,,Barton,,,2,R,1,Rep,HD-TX-6,11211974,27082,N00005656,Joe_Barton,159076,0
9172,"Marsha Blackburn",Marsha,,Blackburn,,,2,R,1,Rep,SD-TN,6654369,25186,N00003105,Marsha_Blackburn,198986,0
9173,"Kevin Brady",Kevin,,Brady,,,2,R,1,Rep,HD-TX-8,11362722,361,N00005883,Kevin_Brady_(Texas),159078,0
9175,"Vern Buchanan",Vern,,Buchanan,,,2,R,1,Rep,HD-FL-16,17658661,66247,N00027626,Vern_Buchanan,250707,0
9176,"Michael Burgess",Michael,C.,Burgess,,,2,R,1,Rep,HD-TX-26,17658442,50120,N00025219,Michael_Burgess,211708,0
9177,"Michael Conaway","K. Michael",,Conaway,,,2,R,1,Rep,HD-TX-11,11428119,49935,N00026041,Mike_Conaway_(Texas),226553,0
9178,"Ander Crenshaw",Ander,,Crenshaw,,,2,R,1,Rep,HD-FL-4,17657418,31130,N00012739,Ander_Crenshaw,205747,0
9179,"John Culberson",John,Abney,Culberson,,,2,R,1,Rep,HD-TX-7,6646293,5488,N00009738,John_Culberson,199253,0
9181,"John Duncan",John,J.,Duncan,Jr.,,2,R,1,Rep,HD-TN-2,9391265,27069,N00003209,John_Duncan_Jr.,159063,0
9182,"Kay Granger",Kay,,Granger,,,2,R,1,Rep,HD-TX-12,17658723,334,N00008799,Kay_Granger,159082,0
9183,"Ralph Hall",Ralph,M.,Hall,,,2,R,1,Rep,HD-TX-4,17657593,27080,N00005645,Ralph_Hall,159074,0
9184,"Doc Hastings",Doc,,Hastings,,,2,R,1,Rep,HD-WA-4,17658542,22318,N00009157,Doc_Hastings,159120,0
9185,"Dean Heller",Dean,,Heller,,,2,R,2,Sen,SD-NV,6596477,2291,N00027522,Dean_Heller,218940,0
9186,"Jeb Hensarling",Jeb,,Hensarling,,,2,R,1,Rep,HD-TX-5,17658386,49827,N00024922,Jeb_Hensarling,211722,0
9188,"Sam Johnson",Sam,,Johnson,,,2,R,1,Rep,HD-TX-3,17658383,27079,N00008028,Sam_Johnson_(Texas_congressman),159073,0
